town,zipcode,ecc,violentcrime_quintile,education_percentile_quintile,education_percentile,school_choice,total_mapc,house_number_symbol,lat_lon_category,lat,lon,town_website_description,town_link,wikipedia,wikipedia_link,street,school,town_square,open_space_or_landmark,crime_percentile,max_rent_0br,max_rent_1br,max_rent_2br,max_rent_3br,max_rent_4br,max_rent_5br,max_rent_6br,town_area,x,y,school_thumbnail,school_license,school_license_url,school_description,school_artist,school_username,open_space_or_landmark_thumbnail,open_space_or_landmark_license,open_space_or_landmark_license_url,open_space_or_landmark_description,open_space_or_landmark_artist,open_space_or_landmark_username,street_thumbnail,street_license,street_license_url,street_description,street_artist,street_username,town_square_thumbnail,town_square_license,town_square_license_url,town_square_description,town_square_artist,town_square_username
Ayer,01432,0,4,3,48,0,128,3,1,42.5639,-71.5697,"Ayer is a thriving town in the historic Nashoba Valley of Massachusetts. It is located 35 miles northwest of Boston, and within easy access of Interstate 495 and State Route 2. Montachusett Regional Transit Authority (MART) supplies Councils-On-Aging service. Commuter rail service from Boston's North Station is provided by the MBTA with a stop in Ayer on its Fitchburg Line. Ayer contains routes 2A, 110, and 111. Ayer is only one town away from both Interstate 495 and Route 2.The town is proud of their diversity, safe and beautiful neighborhoods, excellent schools, strong links to the railroad and Devens, quaint downtown, appreciation and protection of our natural resources, and our focus on the well-being of families and the community.",https://www.ayer.ma.us/,,"https://en.wikipedia.org/wiki/Ayer,_Massachusetts","https://commons.wikimedia.org/wiki/File:Looking_West_on_Main_Street,_Ayer_MA.jpg","https://commons.wikimedia.org/wiki/File:Ayer_Shirley_High_School,_Ayer_MA.jpg","https://commons.wikimedia.org/wiki/File:Main_Street,_Ayer_MA.jpg",,25,1450,1600,1950,2425,2600,2975,3375,,-71.5697,42.5639,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Ayer_Shirley_High_School%2C_Ayer_MA.jpg/120px-Ayer_Shirley_High_School%2C_Ayer_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Ayer Shirley High School, Ayer MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Looking_West_on_Main_Street%2C_Ayer_MA.jpg/120px-Looking_West_on_Main_Street%2C_Ayer_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Looking West on Main Street, Ayer MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Main_Street%2C_Ayer_MA.jpg/120px-Main_Street%2C_Ayer_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Main Street, Ayer MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
Harvard,01451,1,1,1,99,0,5,1,3,42.5358,-71.5831,"Harvard is a well preserved rural community with an interesting history. Situated in Worcester County, Harvard is 32 miles west of Boston, and 22 miles northeast of Worcester. Routes 2 and 495 run through the town, and the Nashua River forms its western boundary. Today it is an affluent residential town noted for its excellent public schools, with its students consistently ranking in the state's top ten test results in English and math.",https://www.harvard.ma.us/,,"https://en.wikipedia.org/wiki/Harvard,_Massachusetts#/media/File:Harvard_public_library.jpg",,"https://commons.wikimedia.org/wiki/File:Congregational_Church_and_General_Store,_Harvard_MA.jpg","https://en.wikipedia.org/wiki/Harvard,_Massachusetts#/media/File:Harvard.jpeg",,87,1200,1175,1550,2000,2450,2800,3175,,-71.5831,42.5358,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Congregational_Church_and_General_Store%2C_Harvard_MA.jpg/120px-Congregational_Church_and_General_Store%2C_Harvard_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Congregational Church and General Store, Harvard MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Harvard.jpeg/120px-Harvard.jpeg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Harvard,Susan Mondor Reedich?,FastilyClone
Littleton,01460,1,2,1,83,0,203,3,2,42.5277,-71.4961,"Littleton sits at the junction of Routes 495 and 2 offering our residents quick and easy access into Boston and all that New England has to offer. Commuter rail service from Boston's North Station is provided by the MBTA with a stop in Littleton on its Fitchburg Line. The LRTA 15 bus line ends in the IBM parking lot. Other transportation services in Littleton are provided by the regional transit authority MART. Littleton's parks, playgrounds, and lakes provide passive and active recreation for all ages. Littleton is favored by residents for their highly regarded school system and as a great town for raising families. In 2013 Bloomberg Magazine named Littleton the best town in Massachusetts to raise kids.",https://www.littletonma.org/about-littleton,,"https://en.wikipedia.org/wiki/Littleton,_Massachusetts#Transportation","https://commons.wikimedia.org/wiki/File:Reed-Wood_Place,_Littleton_MA.jpg","https://commons.wikimedia.org/wiki/File:Littleton_High_School,_Littleton_MA.jpg",,https://commons.wikimedia.org/wiki/File:Littleton_Common_MA.jpg,76,1575,1725,2100,2600,2800,3200,3650,,-71.4961,42.5277,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Littleton_High_School%2C_Littleton_MA.jpg/120px-Littleton_High_School%2C_Littleton_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Littleton High School, Littleton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Littleton_Common_MA.jpg/120px-Littleton_Common_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Littleton Common MA,"<a href=""//commons.wikimedia.org/wiki/User:Tim_Pierce"" title=""User:Tim Pierce"">Tim Pierce</a>",Tim Pierce,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Reed-Wood_Place%2C_Littleton_MA.jpg/120px-Reed-Wood_Place%2C_Littleton_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Reed-Wood Place, Littleton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,,,,,,
Framingham,01701,0,4,4,33,0,460,4,6,42.2762,-71.4199,"Framingham is within Middlesex County and the MetroWest subregion of the Greater Boston metropolitan area. Framingham has 14 public schools which are part of the Framingham Public School District. This includes Framingham High School, three middle schools (Walsh, Fuller, and Cameron), nine elementary schools (Barberi, Brophy, Dunning, Hemenway, King, McCarthy, Potter Road, Stapleton, Woodrow Wilson), and the Blocks Pre-School. The city also has a regional vocational high school and one regional charter school. Framingham is approximately halfway between Worcester, the commercial center of Central Massachusetts, and Boston, New England's leading port and metropolitan area. Rail and highway facilities connect these major centers and other communities in the Greater Boston Metropolitan Area. MBTA commuter rail service is available to South Station and Back Bay Station, Boston, via the MBTA's Framingham/Worcester Line, which connects South Station in Boston and Union Station in Worcester. The MetroWest Regional Transit Authority (MWRTA) operates a regional bus service which provides service to other local routes connecting the various regions of town and fixed route public bus lines servicing multiple communities in the MetroWest region, including the towns of Ashland, Holliston, Hopkinton, Milford, Marlborough, Sudbury, Sherborn, Natick, and Weston.",https://www.framinghamma.gov/,,"https://en.wikipedia.org/wiki/Framingham,_Massachusetts","https://commons.wikimedia.org/wiki/File:Concord_Square,_July_2012,_Framingham_MA.jpg",https://commons.wikimedia.org/wiki/File:McCarthy_Center_-_Framingham_State_University_-_DSC00375.JPG,"https://en.m.wikipedia.org/wiki/File:Framingham_Centre_Common_-_Framingham,_Massachusetts_-_DSC00474.JPG","https://commons.wikimedia.org/wiki/File:Eagle_Pond,_Callahan_State_Park,_Framingham_MA.jpg",29,1450,1600,1950,2425,2600,2975,3375,,-71.4199,42.2762,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/McCarthy_Center_-_Framingham_State_University_-_DSC00375.JPG/120px-McCarthy_Center_-_Framingham_State_University_-_DSC00375.JPG,Public domain,,McCarthy Center - Framingham State University - DSC00375,Daderot,Daderot,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Eagle_Pond%2C_Callahan_State_Park%2C_Framingham_MA.jpg/120px-Eagle_Pond%2C_Callahan_State_Park%2C_Framingham_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Eagle Pond, Callahan State Park, Framingham MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Concord_Square%2C_July_2012%2C_Framingham_MA.jpg/120px-Concord_Square%2C_July_2012%2C_Framingham_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Concord Square, July 2012, Framingham MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Framingham_Centre_Common_-_Framingham%2C_Massachusetts_-_DSC00474.JPG/120px-Framingham_Centre_Common_-_Framingham%2C_Massachusetts_-_DSC00474.JPG,Public domain,,"Framingham Centre Common - Framingham, Massachusetts - DSC00474",Daderot,Daderot
Framingham,01702,0,4,4,33,0,1067,4,6,42.2762,-71.4199,"Framingham is within Middlesex County and the MetroWest subregion of the Greater Boston metropolitan area. Framingham has 14 public schools which are part of the Framingham Public School District. This includes Framingham High School, three middle schools (Walsh, Fuller, and Cameron), nine elementary schools (Barberi, Brophy, Dunning, Hemenway, King, McCarthy, Potter Road, Stapleton, Woodrow Wilson), and the Blocks Pre-School. The city also has a regional vocational high school and one regional charter school. Framingham is approximately halfway between Worcester, the commercial center of Central Massachusetts, and Boston, New England's leading port and metropolitan area. Rail and highway facilities connect these major centers and other communities in the Greater Boston Metropolitan Area. MBTA commuter rail service is available to South Station and Back Bay Station, Boston, via the MBTA's Framingham/Worcester Line, which connects South Station in Boston and Union Station in Worcester. The MetroWest Regional Transit Authority (MWRTA) operates a regional bus service which provides service to other local routes connecting the various regions of town and fixed route public bus lines servicing multiple communities in the MetroWest region, including the towns of Ashland, Holliston, Hopkinton, Milford, Marlborough, Sudbury, Sherborn, Natick, and Weston.",https://www.framinghamma.gov/,,"https://en.wikipedia.org/wiki/Framingham,_Massachusetts","https://commons.wikimedia.org/wiki/File:Concord_Square,_July_2012,_Framingham_MA.jpg",https://commons.wikimedia.org/wiki/File:McCarthy_Center_-_Framingham_State_University_-_DSC00375.JPG,"https://en.m.wikipedia.org/wiki/File:Framingham_Centre_Common_-_Framingham,_Massachusetts_-_DSC00474.JPG","https://commons.wikimedia.org/wiki/File:Eagle_Pond,_Callahan_State_Park,_Framingham_MA.jpg",29,1575,1725,2100,2600,2800,3200,3650,,-71.4199,42.2762,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/McCarthy_Center_-_Framingham_State_University_-_DSC00375.JPG/120px-McCarthy_Center_-_Framingham_State_University_-_DSC00375.JPG,Public domain,,McCarthy Center - Framingham State University - DSC00375,Daderot,Daderot,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Eagle_Pond%2C_Callahan_State_Park%2C_Framingham_MA.jpg/120px-Eagle_Pond%2C_Callahan_State_Park%2C_Framingham_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Eagle Pond, Callahan State Park, Framingham MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Concord_Square%2C_July_2012%2C_Framingham_MA.jpg/120px-Concord_Square%2C_July_2012%2C_Framingham_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Concord Square, July 2012, Framingham MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Framingham_Centre_Common_-_Framingham%2C_Massachusetts_-_DSC00474.JPG/120px-Framingham_Centre_Common_-_Framingham%2C_Massachusetts_-_DSC00474.JPG,Public domain,,"Framingham Centre Common - Framingham, Massachusetts - DSC00474",Daderot,Daderot
Boxborough,01719,1,3,1,91,0,235,3,4,42.5025,-71.5116,"The Town of Boxborough, Massachusetts, a small, thriving community located at the crossroads of Interstate 495 and Route 111. Its excellent school system, high quality housing, convenient location and scenic, historic and rural character make Boxborough an attractive community in which to live and work.  Boxborough has one elementary school, Blanchard Memorial School. Blanchard Memorial School consistently achieves MCAS (Massachusetts Comprehensive Assessment System) test scores within the top ten of Massachusetts school districts. In the school year starting September 2014, the elementary school became part of the Acton-Boxborough Regional School District as a result of a town vote. Children living in Boxborough have priority for attendance, with any remaining spaces available for Acton children. Prior to this, only upon reaching Junior high (grades 7–8) did students become part of the regional system, attending school in the neighboring town of Acton. Acton-Boxborough Regional High School (ABRHS) is highly ranked within Massachusetts and nationwide. The U.S. Department of Education designated the institution as a Blue Ribbon School in 2009. In 2008, Newsweek magazine ranked ABRHS as one of the best high schools in the country. Also, the school has ranked in the top ten for the National Academic Decathlon.",http://www.boxborough-ma.gov/,,"https://en.wikipedia.org/wiki/Boxborough,_Massachusetts","https://commons.wikimedia.org/wiki/File:Levi_Wetherbee_Farm,_Boxborough_MA.jpg","https://commons.wikimedia.org/wiki/File:Boxborough_Town_Hall,_MA.jpg",https://commons.wikimedia.org/wiki/File:ABRHS.jpg,https://www.flickr.com/photos/calliope/6243751876,55,1450,1600,1950,2425,2600,2975,3375,,-71.5116,42.5025,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Boxborough_Town_Hall%2C_MA.jpg/120px-Boxborough_Town_Hall%2C_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Boxborough Town Hall, MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Levi_Wetherbee_Farm%2C_Boxborough_MA.jpg/120px-Levi_Wetherbee_Farm%2C_Boxborough_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Levi Wetherbee Farm, Boxborough MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/ABRHS.jpg/120px-ABRHS.jpg,CC-BY-SA-3.0,http://creativecommons.org/licenses/by-sa/3.0/,ABRHS,Jameson Williams,Sarregouset
Acton,01720,1,2,1,91,0,251,3,2,42.4682,-71.4513,"Acton is a town in Middlesex County, Massachusetts, United States, approximately twenty-one miles west-northwest of Boston along Route 2 west of Concord and about ten miles southwest of Lowell. The MBTA Commuter Rail Fitchburg Line train stops at the South Acton station. South Acton is a major station on the line at which many trains terminate. Yankee Lines provides a commuter bus service to Copley Square in Boston from the intersection of Routes 2A and 119 in Acton. Acton was named the 11th Best Place To Live among small towns in the country by Money Magazine in 2015, and the 16th best in 2009 and in 2011. The local high school, Acton-Boxborough Regional High School, was named a Blue Ribbon School by the U.S. Department of Education in 2009. In 2012, U.S. News & World Report ranked Acton-Boxborough #3 among open enrollment high schools and #7 overall for STEM education in the United States.",https://www.acton-ma.gov/,"Acton is a town in Middlesex County, Massachusetts, United States, approximately twenty-one miles west-northwest of Boston along Route 2 west of Concord and about ten miles southwest of Lowell. The MBTA Commuter Rail Fitchburg Line train stops at the South Acton station. South Acton is a major station on the line at which many trains terminate. Besides the urban stops at Cambridge (Porter Square) and Boston (North Station Terminal), it is the only station on the line at which all trains stop. Railroad service provided to Fitchburg, Leominster, Shirley, Ayer, Littleton, Concord, Lincoln, Weston, Waltham, Belmont, Cambridge, and Boston. Yankee Lines provides a commuter bus service to Copley Square in Boston from the intersection of Routes 2A and 119 in Acton. Acton was named the 11th Best Place To Live among small towns in the country by Money Magazine in 2015, and the 16th best in 2009 and in 2011. The local high school, Acton-Boxborough Regional High School, was named a Blue Ribbon School by the U.S. Department of Education in 2009. In 2012, U.S. News & World Report ranked Acton-Boxborough #3 among open enrollment high schools and #7 overall for STEM education in the United States.","https://en.wikipedia.org/wiki/Acton,_Massachusetts","https://commons.wikimedia.org/wiki/File:Main_Street,_South_Acton_MA.jpg",https://en.wikipedia.org/wiki/Acton-Boxborough_Regional_High_School#/media/File:ABRHS.jpg,"https://commons.wikimedia.org/wiki/File:MA_Route_111_eastbound,_West_Acton_MA.jpg","https://en.wikipedia.org/wiki/Acton,_Massachusetts#/media/File:4th_of_July_2015_in_Acton.jpg",75,1450,1600,1950,2425,2600,2975,3375,,-71.4513,42.4682,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/ABRHS.jpg/120px-ABRHS.jpg,CC-BY-SA-3.0,http://creativecommons.org/licenses/by-sa/3.0/,ABRHS,Jameson Williams,Sarregouset,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/4th_of_July_2015_in_Acton.jpg/120px-4th_of_July_2015_in_Acton.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,4th of July 2015 in Acton,"<a href=""//commons.wikimedia.org/wiki/User:Victorgrigas"" title=""User:Victorgrigas"">victorgrigas</a>",Victorgrigas,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Main_Street%2C_South_Acton_MA.jpg/120px-Main_Street%2C_South_Acton_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Main Street, South Acton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/MA_Route_111_eastbound%2C_West_Acton_MA.jpg/120px-MA_Route_111_eastbound%2C_West_Acton_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"MA Route 111 eastbound, West Acton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
Ashland,01721,1,2,1,82,0,126,3,1,42.2573,-71.4686,"Ashland is a town in Middlesex County. It is part of the MetroWest region. Two major routes, 135 and 126, pass through Ashland. Travel is easy, with its own stop on the Framingham/Worcester Commuter Rail Line and nearby access to both I-90 and I-495. Even though Ashland has left its humble roots as a rural area, it still retains the look and feel of a typical residential Boston-area New England town. In 2014, Ashland High School was ranked #19 in the state of Massachusetts (out of 352 schools) and #396 in the country according to U.S. News & World Report. In 2015, Ashland High School was ranked #424 in the country according to Newsweek. In 2016, Ashland High school is ranked #51 among all of the high schools in Massachusetts and #1224 in national school rankings. The mathematics proficiency is at 97% and the English proficiency is at 98% at Ashland High School.",https://www.ashlandmass.com/,"Ashland is a town in Middlesex County. It is part of the MetroWest region. Two major routes, 135 and 126, pass through Ashland. Travel is easy, with its own stop on the Framingham/Worcester Commuter Rail Line and nearby access to both I-90 and I-495. Even though Ashland has left its humble roots as a rural area, it still retains the look and feel of a typical residential Boston-area New England town. n 2014, Ashland High School was ranked #19 in the state of Massachusetts (out of 352 schools) and #396 in the country according to U.S. News & World Report. In 2015, Ashland High School was ranked #424 in the country according to Newsweek. In 2016, Ashland High school is ranked #51 among all of the high schools in Massachusetts and #1224 in national school rankings. The mathematics proficiency is at 97% and the English proficiency is at 98% at Ashland High School.","https://en.wikipedia.org/wiki/Ashland,_Massachusetts","https://commons.wikimedia.org/wiki/File:Stone%27s_Public_House,_Ashland,_Massachusetts.jpeg","https://commons.wikimedia.org/wiki/File:Main_Street,_Ashland_MA.jpg","https://commons.wikimedia.org/wiki/File:Ashland_High_School,_Ashland_MA.jpg","https://commons.wikimedia.org/wiki/File:Gryncel_Park,_Ashland_MA.jpg",71,1600,1775,2150,2675,2875,3275,3725,,-71.4686,42.2573,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Main_Street%2C_Ashland_MA.jpg/120px-Main_Street%2C_Ashland_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Main Street, Ashland MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Gryncel_Park%2C_Ashland_MA.jpg/120px-Gryncel_Park%2C_Ashland_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Gryncel Park, Ashland MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Stone%27s_Public_House%2C_Ashland%2C_Massachusetts.jpeg/120px-Stone%27s_Public_House%2C_Ashland%2C_Massachusetts.jpeg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Stone's Public House, Ashland, Massachusetts","<a href=""//commons.wikimedia.org/w/index.php?title=User:DaveFrancis1971&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:DaveFrancis1971 (page does not exist)"">DaveFrancis1971</a>",DaveFrancis1971,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Ashland_High_School%2C_Ashland_MA.jpg/120px-Ashland_High_School%2C_Ashland_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Ashland High School, Ashland MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
Bedford,01730,1,1,1,84,0,387,3,1,42.4976,-71.2781,"Bedford is located on the map of Massachusetts in Middlesex County-about fifteen miles northwest of Boston near the junction of routes 3 and 95 and is accessible by the MBTA. The population is 13,320 and the surrounding towns are Lexington, Concord, Carlisle, Burlington, Billerica, and Lincoln. The Town covers a land area of almost fourteen square miles, with 65.54 miles of public roads. There are rivers, ponds, fields and forests saved as conservation lands. The Town maintains open spaces with walking trails and bikeways as well as athletic fields and parks for recreation. Bedford Public Schools operate Bedford's public school system. It consists of four buildings: Lt. Eleazer Davis Elementary (K-2), Lt. Job Lane Elementary (3-5), John Glenn Middle School (6-8), and Bedford High School (9-12). Some students from Hanscom Air Force Base, which is partially located in Bedford, join Bedford residents at Bedford High for 9th grade and beyond. There is a METCO program, where students from Boston come to the Bedford schools, starting in kindergarten and staying with the class until graduation. Bedford is also part of the school district of Shawsheen Valley Technical High School which is in nearby Billerica.",https://www.bedfordma.gov/about-bedford,,"https://en.wikipedia.org/wiki/Bedford,_Massachusetts","https://commons.wikimedia.org/wiki/File:Bedford_Common,_MA.jpg","https://commons.wikimedia.org/wiki/File:Old_Town_Hall,_Bedford_MA.jpg","https://commons.wikimedia.org/wiki/File:Bedford_High_School,_Bedford_MA.jpg","https://commons.wikimedia.org/wiki/File:Bedford_Free_Public_Library,_Bedford_MA.jpg",94,2050,2275,2750,3400,3675,4225,4800,,-71.2781,42.4976,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Old_Town_Hall%2C_Bedford_MA.jpg/120px-Old_Town_Hall%2C_Bedford_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Old Town Hall, Bedford MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Bedford_Free_Public_Library%2C_Bedford_MA.jpg/120px-Bedford_Free_Public_Library%2C_Bedford_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Bedford Free Public Library, Bedford MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Bedford_Common%2C_MA.jpg/120px-Bedford_Common%2C_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Bedford Common, MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Bedford_High_School%2C_Bedford_MA.jpg/120px-Bedford_High_School%2C_Bedford_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Bedford High School, Bedford MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
Bolton,01740,1,2,2,80,0,14,1,5,42.4368,-71.6058,"Bolton is a town in Worcester County, Massachusetts. Bolton is in eastern Massachusetts, located 25 miles west-northwest of downtown Boston. Bolton is a member of the Nashoba Regional School District, also serving the towns of Lancaster and Stow. Bolton is home to Florence Sawyer School (PK-8) and Nashoba Regional High School.",https://www.townofbolton.com/discover-bolton/pages/late-modern-period-1945-present,,"https://en.wikipedia.org/wiki/Bolton,_Massachusetts","https://commons.wikimedia.org/wiki/File:Main_Street,_Bolton_MA.jpg","https://commons.wikimedia.org/wiki/File:First_Parish,_Bolton_MA.jpg","https://commons.wikimedia.org/wiki/File:Nashoba_Regional_High_School,_Bolton_MA.jpg","https://en.wikipedia.org/wiki/Bolton,_Massachusetts#/media/File:Bolton_Public_Library.jpg",73,1100,1075,1450,1800,2250,2600,2875,,-71.6058,42.4368,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/First_Parish%2C_Bolton_MA.jpg/120px-First_Parish%2C_Bolton_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"First Parish, Bolton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Bolton_Public_Library.jpg/120px-Bolton_Public_Library.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Bolton Public Library,"<a href=""//commons.wikimedia.org/wiki/User:Ethomsen"" title=""User:Ethomsen"">Elizabeth B. Thomsen</a>",Ethomsen,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Main_Street%2C_Bolton_MA.jpg/120px-Main_Street%2C_Bolton_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Main Street, Bolton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Nashoba_Regional_High_School%2C_Bolton_MA.jpg/120px-Nashoba_Regional_High_School%2C_Bolton_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Nashoba Regional High School, Bolton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
