zip_code,town,town_website_description,town_link,wikipedia,wikipedia_link,street,school,town_square,open_space_or_landmark,extra,school_thumbnail,school_license,school_license_url,school_description,school_artist,school_username,open_space_or_landmark_thumbnail,open_space_or_landmark_license,open_space_or_landmark_license_url,open_space_or_landmark_description,open_space_or_landmark_artist,open_space_or_landmark_username,street_thumbnail,street_license,street_license_url,street_description,street_artist,street_username,town_square_thumbnail,town_square_license,town_square_license_url,town_square_description,town_square_artist,town_square_username
1718,ACTON,,https://www.acton-ma.gov/,"Acton is a town in Middlesex County, Massachusetts, United States, approximately twenty-one miles west-northwest of Boston along Route 2 west of Concord and about ten miles southwest of Lowell. The MBTA Commuter Rail Fitchburg Line train stops at the South Acton station. South Acton is a major station on the line at which many trains terminate. Besides the urban stops at Cambridge (Porter Square) and Boston (North Station Terminal), it is the only station on the line at which all trains stop. Railroad service provided to Fitchburg, Leominster, Shirley, Ayer, Littleton, Concord, Lincoln, Weston, Waltham, Belmont, Cambridge, and Boston. Yankee Lines provides a commuter bus service to Copley Square in Boston from the intersection of Routes 2A and 119 in Acton. Acton was named the 11th Best Place To Live among small towns in the country by Money Magazine in 2015, and the 16th best in 2009 and in 2011. The local high school, Acton-Boxborough Regional High School, was named a Blue Ribbon School by the U.S. Department of Education in 2009. In 2012, U.S. News & World Report ranked Acton-Boxborough #3 among open enrollment high schools and #7 overall for STEM education in the United States.","https://en.wikipedia.org/wiki/Acton,_Massachusetts","https://commons.wikimedia.org/wiki/File:Main_Street,_South_Acton_MA.jpg",https://en.wikipedia.org/wiki/Acton-Boxborough_Regional_High_School,"https://commons.wikimedia.org/wiki/File:MA_Route_111_eastbound,_West_Acton_MA.jpg",https://www.acton-ma.gov/304/Recreation,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Main_Street%2C_South_Acton_MA.jpg/120px-Main_Street%2C_South_Acton_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Main Street, South Acton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/MA_Route_111_eastbound%2C_West_Acton_MA.jpg/120px-MA_Route_111_eastbound%2C_West_Acton_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"MA Route 111 eastbound, West Acton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
1720,ACTON,,https://www.acton-ma.gov/,"Acton is a town in Middlesex County, Massachusetts, United States, approximately twenty-one miles west-northwest of Boston along Route 2 west of Concord and about ten miles southwest of Lowell. The MBTA Commuter Rail Fitchburg Line train stops at the South Acton station. South Acton is a major station on the line at which many trains terminate. Besides the urban stops at Cambridge (Porter Square) and Boston (North Station Terminal), it is the only station on the line at which all trains stop. Railroad service provided to Fitchburg, Leominster, Shirley, Ayer, Littleton, Concord, Lincoln, Weston, Waltham, Belmont, Cambridge, and Boston. Yankee Lines provides a commuter bus service to Copley Square in Boston from the intersection of Routes 2A and 119 in Acton. Acton was named the 11th Best Place To Live among small towns in the country by Money Magazine in 2015, and the 16th best in 2009 and in 2011. The local high school, Acton-Boxborough Regional High School, was named a Blue Ribbon School by the U.S. Department of Education in 2009. In 2012, U.S. News & World Report ranked Acton-Boxborough #3 among open enrollment high schools and #7 overall for STEM education in the United States.","https://en.wikipedia.org/wiki/Acton,_Massachusetts","https://commons.wikimedia.org/wiki/File:Main_Street,_South_Acton_MA.jpg",https://en.wikipedia.org/wiki/Acton-Boxborough_Regional_High_School,"https://commons.wikimedia.org/wiki/File:MA_Route_111_eastbound,_West_Acton_MA.jpg",https://www.acton-ma.gov/304/Recreation,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Main_Street%2C_South_Acton_MA.jpg/120px-Main_Street%2C_South_Acton_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Main Street, South Acton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/MA_Route_111_eastbound%2C_West_Acton_MA.jpg/120px-MA_Route_111_eastbound%2C_West_Acton_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"MA Route 111 eastbound, West Acton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
1810,ANDOVER,"The Town of Andover is located in Essex County in the northeastern part of Massachusetts, approximately 23 miles north of Boston. Located on the banks of the Merrimack River, Andover is bordered on the north by the cities of Lawrence and Methuen, on the east by the Town of North Andover, on the south by the Towns of North Reading and Wilmington, and on the west by the towns of Tewksbury and Dracut. Andover is bisected by 2 major highway systems, Routes 93 and 495, and a number of secondary roadways including Routes 28, 133, 114 and 125. Public transportation is available via two commuter rail service stations from Andover to the metropolitan Boston area provided by the Massachusetts Bay Transportation Authority, and a regional bus service provided by the Merrimack Valley Transit Authority. Widely regarded for its high quality schools and community spirit, Andover has evolved into a highly desirable community. In addition to offering a full range of housing options, from high-end single family homes, to low to moderate income rental and ownership opportunities, Andover's real estate market has been historically strong and resistant to economic downturns. The community's physical proximity to Boston, the Massachusetts seashore, and the White Mountains of New Hampshire, along with excellent major highway access, all contribute to its broad appeal.",https://andoverma.gov/260/About-Andover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,ARLINGTON,"Arlington's excellent access to metropolitan Boston has made it a very desirable place to live.
Arlington is six miles northwest of Boston. The town is bordered on the north by Winchester, on the east by Medford and Somerville, on the south by Cambridge and Belmont and on the west by Lexington. Arlington is bounded on the south by Route 2, a major transportation route allowing access to Boston and the western part of Massachusetts. Arlington is also a short distance from Interstate 93 and 95. Other major routes that go through the town are Routes 2A and 3. Public transportation is provided through the Massachusetts Bay Transit Authority (MBTA) servicing the Greater Boston area with bus service and a subway system. Closest access to the subway system is through the Alewife Station located just over the Arlington border in Cambridge. The Town of Arlington operates an excellent school system with seven elementary schools, one middle school, and Arlington High School. ",https://www.arlingtonma.gov/i-want-to-/arlington-history,,"https://en.wikipedia.org/wiki/Arlington,_Massachusetts","https://commons.wikimedia.org/wiki/File:William_Prentiss_House,_Arlington,_MA.jpg",https://commons.wikimedia.org/wiki/File:Arlington_MA_Town_Hall.jpg,https://commons.wikimedia.org/wiki/File:Arlington_High_School_MA.jpg,"https://en.wikipedia.org/wiki/Arlington,_Massachusetts",,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Arlington_MA_Town_Hall.jpg/120px-Arlington_MA_Town_Hall.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Arlington MA Town Hall,"<a href=""//commons.wikimedia.org/wiki/User:Tim_Pierce"" title=""User:Tim Pierce"">Tim Pierce</a>",Tim Pierce,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/William_Prentiss_House%2C_Arlington%2C_MA.jpg/120px-William_Prentiss_House%2C_Arlington%2C_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"William Prentiss House, Arlington, MA","<a href=""//commons.wikimedia.org/wiki/User:Magicpiano"" title=""User:Magicpiano"">User:Magicpiano</a>",Magicpiano,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Arlington_High_School_MA.jpg/120px-Arlington_High_School_MA.jpg,Public domain,,Arlington High School MA,"<a href=""//commons.wikimedia.org/wiki/User:Tim_Pierce"" title=""User:Tim Pierce"">Tim Pierce</a>",Tim Pierce
2476,ARLINGTON,"Arlington's excellent access to metropolitan Boston has made it a very desirable place to live.
Arlington is six miles northwest of Boston. The town is bordered on the north by Winchester, on the east by Medford and Somerville, on the south by Cambridge and Belmont and on the west by Lexington. Arlington is bounded on the south by Route 2, a major transportation route allowing access to Boston and the western part of Massachusetts. Arlington is also a short distance from Interstate 93 and 95. Other major routes that go through the town are Routes 2A and 3. Public transportation is provided through the Massachusetts Bay Transit Authority (MBTA) servicing the Greater Boston area with bus service and a subway system. Closest access to the subway system is through the Alewife Station located just over the Arlington border in Cambridge. The Town of Arlington operates an excellent school system with seven elementary schools, one middle school, and Arlington High School. ",https://www.arlingtonma.gov/i-want-to-/arlington-history,"https://en.wikipedia.org/wiki/Arlington,_Massachusetts",,"https://commons.wikimedia.org/wiki/File:William_Prentiss_House,_Arlington,_MA.jpg",https://commons.wikimedia.org/wiki/File:Arlington_MA_Town_Hall.jpg,https://commons.wikimedia.org/wiki/File:Arlington_High_School_MA.jpg,"https://en.wikipedia.org/wiki/Arlington,_Massachusetts",,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Arlington_MA_Town_Hall.jpg/120px-Arlington_MA_Town_Hall.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Arlington MA Town Hall,"<a href=""//commons.wikimedia.org/wiki/User:Tim_Pierce"" title=""User:Tim Pierce"">Tim Pierce</a>",Tim Pierce,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/William_Prentiss_House%2C_Arlington%2C_MA.jpg/120px-William_Prentiss_House%2C_Arlington%2C_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"William Prentiss House, Arlington, MA","<a href=""//commons.wikimedia.org/wiki/User:Magicpiano"" title=""User:Magicpiano"">User:Magicpiano</a>",Magicpiano,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Arlington_High_School_MA.jpg/120px-Arlington_High_School_MA.jpg,Public domain,,Arlington High School MA,"<a href=""//commons.wikimedia.org/wiki/User:Tim_Pierce"" title=""User:Tim Pierce"">Tim Pierce</a>",Tim Pierce
1721,ASHLAND,,https://www.ashlandmass.com/,"Ashland is a town in Middlesex County.  It is part of the MetroWest region. Two major routes, 135 and 126, pass through Ashland. Travel is easy, with its own stop on the Framingham/Worcester Commuter Rail Line and nearby access to both I-90 and I-495. Even though Ashland has left its humble roots as a rural area, it still retains the look and feel of a typical residential Boston-area New England town. n 2014, Ashland High School was ranked #19 in the state of Massachusetts (out of 352 schools) and #396 in the country according to U.S. News & World Report. In 2015, Ashland High School was ranked #424 in the country according to Newsweek. In 2016, Ashland High school is ranked #51 among all of the high schools in Massachusetts and #1224 in national school rankings. The mathematics proficiency is at 97% and the English proficiency is at 98% at Ashland High School.","https://en.wikipedia.org/wiki/Ashland,_Massachusetts","https://commons.wikimedia.org/wiki/File:Stone%27s_Public_House,_Ashland,_Massachusetts.jpeg","https://commons.wikimedia.org/wiki/File:Main_Street,_Ashland_MA.jpg","https://commons.wikimedia.org/wiki/File:Ashland_High_School,_Ashland_MA.jpg","https://commons.wikimedia.org/wiki/File:Gryncel_Park,_Ashland_MA.jpg",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Main_Street%2C_Ashland_MA.jpg/120px-Main_Street%2C_Ashland_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Main Street, Ashland MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Gryncel_Park%2C_Ashland_MA.jpg/120px-Gryncel_Park%2C_Ashland_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Gryncel Park, Ashland MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Stone%27s_Public_House%2C_Ashland%2C_Massachusetts.jpeg/120px-Stone%27s_Public_House%2C_Ashland%2C_Massachusetts.jpeg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Stone's Public House, Ashland, Massachusetts","<a href=""//commons.wikimedia.org/w/index.php?title=User:DaveFrancis1971&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:DaveFrancis1971 (page does not exist)"">DaveFrancis1971</a>",DaveFrancis1971,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Ashland_High_School%2C_Ashland_MA.jpg/120px-Ashland_High_School%2C_Ashland_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Ashland High School, Ashland MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
1730,BEDFORD,"Bedford is located on the map of Massachusetts in Middlesex County-about fifteen miles northwest of Boston near the junction of routes 3 and 95 and is accessible by the MBTA. The population is 13,320 and the surrounding towns are Lexington, Concord, Carlisle, Burlington, Billerica, and Lincoln. The Town covers a land area of almost fourteen square miles, with 65.54 miles of public roads. There are rivers, ponds, fields and forests saved as conservation lands. The Town maintains open spaces with walking trails and bikeways as well as athletic fields and parks for recreation. Bedford Public Schools operate Bedford's public school system. It consists of four buildings: Lt. Eleazer Davis Elementary (K–2), Lt. Job Lane Elementary (3–5), John Glenn Middle School (6–8), and Bedford High School (9–12). Some students from Hanscom Air Force Base, which is partially located in Bedford, join Bedford residents at Bedford High for 9th grade and beyond. There is a METCO program, where students from Boston come to the Bedford schools, starting in kindergarten and staying with the class until graduation. Bedford is also part of the school district of Shawsheen Valley Technical High School which is in nearby Billerica.",https://www.bedfordma.gov/about-bedford,,,"https://commons.wikimedia.org/wiki/File:Bedford_Common,_MA.jpg","https://commons.wikimedia.org/wiki/File:Old_Town_Hall,_Bedford_MA.jpg","https://commons.wikimedia.org/wiki/File:Bedford_High_School,_Bedford_MA.jpg","https://commons.wikimedia.org/wiki/File:Bedford_Free_Public_Library,_Bedford_MA.jpg",,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Old_Town_Hall%2C_Bedford_MA.jpg/120px-Old_Town_Hall%2C_Bedford_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Old Town Hall, Bedford MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Bedford_Free_Public_Library%2C_Bedford_MA.jpg/120px-Bedford_Free_Public_Library%2C_Bedford_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Bedford Free Public Library, Bedford MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Bedford_Common%2C_MA.jpg/120px-Bedford_Common%2C_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Bedford Common, MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Bedford_High_School%2C_Bedford_MA.jpg/120px-Bedford_High_School%2C_Bedford_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Bedford High School, Bedford MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
2478,BELMONT,"The Town of Belmont is a suburban community located in heart of the Greater Boston Metropolitan Area. Known to longtime residents as “The Town of Homes”, Belmont is a primarily residential community located in close proximity to the region’s economic centers. A part of Middlesex County, Massachusetts, Belmont is situated on Cambridge’s western border and is just 8 miles from Downtown Boston. Belmont has a population of 26,171 and is also bordered by Watertown, Waltham, Lexington, and Arlington.There are three major commercial centers in the town: Belmont Center in the center, Cushing Square in the south, and Waverley Square in the west. Town Hall and other civic buildings are located in Belmont Center. Large tracts of land from former farms and greenhouse estates form public or publicly accessible areas such as Rock Meadow, Habitat (Mass Audubon), portions of the McLean Hospital tract and various town fields.",https://www.belmont-ma.gov/about-belmont,,"https://en.wikipedia.org/wiki/Belmont,_Massachusetts","https://commons.wikimedia.org/wiki/File:Abraham_Hill_House,_April_2010,_Belmont_MA.jpg","https://commons.wikimedia.org/wiki/File:Belmont_Town_Hall_-_Belmont,_MA_-_DSC07849.jpg","https://commons.wikimedia.org/wiki/File:Mary_Lee_Burbank_Elementary_School,_266_School_Street,_Belmont,_MA_-_IMG_4718.JPG","https://commons.wikimedia.org/wiki/File:Administration_Building,_McLean_Hospital,_Belmont_MA.jpg",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Belmont_Town_Hall_-_Belmont%2C_MA_-_DSC07849.jpg/120px-Belmont_Town_Hall_-_Belmont%2C_MA_-_DSC07849.jpg,Public domain,,"Belmont Town Hall - Belmont, MA - DSC07849","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",Daderot,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Administration_Building%2C_McLean_Hospital%2C_Belmont_MA.jpg/120px-Administration_Building%2C_McLean_Hospital%2C_Belmont_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Administration Building, McLean Hospital, Belmont MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Abraham_Hill_House%2C_April_2010%2C_Belmont_MA.jpg/120px-Abraham_Hill_House%2C_April_2010%2C_Belmont_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Abraham Hill House, April 2010, Belmont MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mary_Lee_Burbank_Elementary_School%2C_266_School_Street%2C_Belmont%2C_MA_-_IMG_4718.JPG/120px-Mary_Lee_Burbank_Elementary_School%2C_266_School_Street%2C_Belmont%2C_MA_-_IMG_4718.JPG,Public domain,,"Mary Lee Burbank Elementary School, 266 School Street, Belmont, MA - IMG 4718","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",Daderot
1740,BOLTON,"People are attracted to Bolton today for the same reasons turn-of-the-century city dwellers saw the town as a rural retreat--its rural character, spectacular views and vistas, and the allure of its historic architecture. The town is still being shaped by many of the same factors that were present earlier in its history, however. Although Main Street is no longer a major thoroughfare for stagecoaches and cattle drives, the presence of I-495, and Route 117's continued function as a convenient route east toward Boston make Bolton a major attraction for commuters looking for a small town to settle in. If increased residential development threatens the very subject of that attraction through the loss of farmland, woods, and historic buildings, it is to be hoped that the knowledge and awareness made possible by the community-wide Historic Properties Survey, as well as the 1998 Preservation Plan, will help to counteract that threat.",https://www.townofbolton.com/discover-bolton/pages/late-modern-period-1945-present,,,"https://commons.wikimedia.org/wiki/File:Main_Street,_Bolton_MA.jpg","https://commons.wikimedia.org/wiki/File:First_Parish,_Bolton_MA.jpg","https://commons.wikimedia.org/wiki/File:Nashoba_Regional_High_School,_Bolton_MA.jpg",https://www.flickr.com/photos/masstravel/14929376524,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/First_Parish%2C_Bolton_MA.jpg/120px-First_Parish%2C_Bolton_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"First Parish, Bolton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Main_Street%2C_Bolton_MA.jpg/120px-Main_Street%2C_Bolton_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Main Street, Bolton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Nashoba_Regional_High_School%2C_Bolton_MA.jpg/120px-Nashoba_Regional_High_School%2C_Bolton_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Nashoba Regional High School, Bolton MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
2116,BOSTON (Back Bay),,,"Back Bay is an officially recognized neighborhood of Boston. It is most famous for its rows of Victorianbrownstone homes—considered one of the best preserved examples of 19th-century urban design in the United States—as well as numerous architecturally significant individual buildings, and cultural institutions such as the Boston Public Library. Back Bay is served by the Green Line's Arlington, Copley, Hynes Convention Center, and Prudential stations, and the Orange Line's Back Bay station (which is also an MBTA Commuter Rail and Amtrak station","https://en.wikipedia.org/wiki/Back_Bay,_Boston",https://www.flickr.com/photos/masstravel/8535222660,,https://commons.wikimedia.org/wiki/File:Boston_backbay_brownstones.jpg,"https://en.wikipedia.org/wiki/Back_Bay,_Boston",,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Boston_backbay_brownstones.jpg/120px-Boston_backbay_brownstones.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Boston backbay brownstones,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/rickberk/"">Rick Berk</a>",Martin H.
