zipcode,town,violentcrime_quintile,education_percentile_quintile,education_percentile,max_rent_0br,max_rent_1br,max_rent_2br,max_rent_3br,max_rent_4br,max_rent_5br,max_rent_6br,town_website_description,town_link,wikipedia,wikipedia_link,street,school,town_square,open_space_or_landmark
2467,CHESTNUT HILL,1,1,20,2177,2417,2938,3688,3959,4555,5246,"Chestnut Hill is a New England village located six miles (9.7 km) west of downtown Boston, Massachusetts, United States. Chestnut Hill is best known as the home of Boston College, part of the Boston Marathon route, as well as the Collegiate Gothic canvas of landscape architect Frederick Law Olmsted. Chestnut hill is home to both the Hammond Pond Reservation, an extensive forest preserve and protected wetlands, and the Kennard Park and Conservation area. It is served by the MBTA and the Public School District of Brookline and the Newton Public Schools.",,"Chestnut Hill is a New England village located six miles (9.7 km) west of downtown Boston, Massachusetts, United States. Chestnut Hill is best known as the home of Boston College, part of the Boston Marathon route, as well as the Collegiate Gothic canvas of landscape architect Frederick Law Olmsted. Chestnut hill is home to both the Hammond Pond Reservation, an extensive forest preserve and protected wetlands, and the Kennard Park and Conservation area. It is served by the MBTA and the Public School District of Brookline and the Newton Public Schools.","https://en.wikipedia.org/wiki/Chestnut_Hill,_Massachusetts","https://commons.wikimedia.org/wiki/File:Hammond_House,_Chestnut_Hill_MA.jpg","https://commons.wikimedia.org/wiki/File:Heath_School,_Brookline_MA.jpg","https://commons.wikimedia.org/wiki/File:The_Street,_Chestnut_Hill_MA.jpg",https://commons.wikimedia.org/wiki/File:LarzAnderson4.JPG
2119,ROXBURY,5,4,45,1262,1387,1689,2122,2270,2612,3012,". The main commercial areas of Roxbury include Dudley Square, Crosstown, and Grove Hall. Dudley Square has long been a commercial hub for the area and is enjoying a newly-found renaissance. Dudley Square also serves as a transit hub for a number of MBTA buses and the Silver Line.",http://www.bostonplans.org/neighborhoods/roxbury/at-a-glance,"https://en.wikipedia.org/wiki/Roxbury,_Boston","https://en.wikipedia.org/wiki/Roxbury,_Boston","https://en.wikipedia.org/wiki/Roxbury,_Boston#/media/File:Dudley_Street_Initiative_Building.jpg",https://en.wikipedia.org/wiki/Madison_Park_Technical_Vocational_High_School#/media/File:Madison_Park_Technical_Vocational_High_School.jpg,"https://en.wikipedia.org/wiki/Dudley_Square#/media/File:Dudley_Department_Store,_Washington_St,_Roxbury_MA.jpg",https://en.wikipedia.org/wiki/Roxbury_Community_College#/media/File:RCCollege08.JPG
2132,WEST ROXBURY,1,4,42,1587,1747,2128,2678,2869,3301,3805,"West Roxbury, located in Boston's southwest corner and bordered by Roslindale and Hyde Park. Today, West Roxbury is a suburban neighborhood in an urban setting, characterized by tree-lined streets and single family homes. Residents enjoy easy access to Downtown Boston via the Needham Line of the Commuter Rail and MBTA buses. 100-acre Millennium Park, to the west, offers miles of trails and a canoe launch for the Charles River.  West Roxbury's main commercial district extends along Centre Street, including restaurants, shops, and banks.",https://www.boston.gov/neighborhood/west-roxbury,"https://en.wikipedia.org/wiki/Roxbury,_Boston","https://en.wikipedia.org/wiki/Roxbury,_Boston","https://en.wikipedia.org/wiki/Roxbury,_Boston#/media/File:Dudley_Street_Initiative_Building.jpg",https://en.wikipedia.org/wiki/Madison_Park_Technical_Vocational_High_School#/media/File:Madison_Park_Technical_Vocational_High_School.jpg,"https://en.wikipedia.org/wiki/Dudley_Square#/media/File:Dudley_Department_Store,_Washington_St,_Roxbury_MA.jpg",https://en.wikipedia.org/wiki/Roxbury_Community_College#/media/File:RCCollege08.JPG
2109,BOSTON,5,4,34,2297,2547,3098,3888,4179,4808,5537,"The Financial District of Boston is located in Downtown Boston, near Government Center and Chinatown.",,"The Financial District of Boston is located in Downtown Boston, near Government Center and Chinatown.","https://en.wikipedia.org/wiki/Financial_District,_Boston","https://commons.wikimedia.org/wiki/File:Financial_District,_Boston,_MA.jpg",,,
2120,ROXBURY CROSSING,4,5,27,1587,1747,2128,2678,2869,3301,3805,". The main commercial areas of Roxbury include Dudley Square, Crosstown, and Grove Hall. Dudley Square has long been a commercial hub for the area and is enjoying a newly-found renaissance. Dudley Square also serves as a transit hub for a number of MBTA buses and the Silver Line.",http://www.bostonplans.org/neighborhoods/roxbury/at-a-glance,,"https://en.wikipedia.org/wiki/Roxbury,_Boston","https://en.wikipedia.org/wiki/Roxbury,_Boston#/media/File:Dudley_Street_Initiative_Building.jpg",https://en.wikipedia.org/wiki/Madison_Park_Technical_Vocational_High_School#/media/File:Madison_Park_Technical_Vocational_High_School.jpg,"https://en.wikipedia.org/wiki/Dudley_Square#/media/File:Dudley_Department_Store,_Washington_St,_Roxbury_MA.jpg",https://en.wikipedia.org/wiki/Roxbury_Community_College#/media/File:RCCollege08.JPG
2474,ARLINGTON,2,1,86,1657,1837,2228,2798,2999,3451,3977,"Arlington's excellent access to metropolitan Boston has made it a very desirable place to live. Arlington is six miles northwest of Boston. The town is bordered on the north by Winchester, on the east by Medford and Somerville, on the south by Cambridge and Belmont and on the west by Lexington. Arlington is bounded on the south by Route 2, a major transportation route allowing access to Boston and the western part of Massachusetts. Arlington is also a short distance from Interstate 93 and 95. Other major routes that go through the town are Routes 2A and 3. Public transportation is provided through the Massachusetts Bay Transit Authority (MBTA) servicing the Greater Boston area with bus service and a subway system. Closest access to the subway system is through the Alewife Station located just over the Arlington border in Cambridge. The Town of Arlington operates an excellent school system with seven elementary schools, one middle school, and Arlington High School.",https://www.arlingtonma.gov/i-want-to-/arlington-history,,"https://en.wikipedia.org/wiki/Arlington,_Massachusetts","https://commons.wikimedia.org/wiki/File:William_Prentiss_House,_Arlington,_MA.jpg",https://commons.wikimedia.org/wiki/File:Arlington_MA_Town_Hall.jpg,https://commons.wikimedia.org/wiki/File:Arlington_High_School_MA.jpg,"https://en.wikipedia.org/wiki/Arlington,_Massachusetts"
2116,BOSTON,4,5,24,1907,2117,2568,3228,3459,3980,4585,"Back Bay is an officially recognized neighborhood of Boston. It is most famous for its rows of Victorianbrownstone homes—considered one of the best preserved examples of 19th-century urban design in the United States'as well as numerous architecturally significant individual buildings, and cultural institutions such as the Boston Public Library. Back Bay is served by the Green Line's Arlington, Copley, Hynes Convention Center, and Prudential stations, and the Orange Line's Back Bay station (which is also an MBTA Commuter Rail and Amtrak station",https://www.boston.gov/neighborhood/back-bay,,"https://en.wikipedia.org/wiki/Back_Bay,_Boston",https://commons.wikimedia.org/wiki/File:Boston_backbay_brownstones.jpg,,https://commons.wikimedia.org/wiki/File:Boston_backbay_brownstones.jpg,"https://en.wikipedia.org/wiki/Back_Bay,_Boston#/media/File:Boston_skyline_from_Longfellow_Bridge_September_2017_panorama_2.jpg"
2135,BRIGHTON,1,5,20,1937,2147,2608,3278,3509,4037,4651,"Brighton is a northwesterly Boston neighborhood home to a vibrant mix of old and new, residential and commercial. Families, who have called Brighton home for generations, share the neighborhood with recent immigrants, students from nearby colleges, and young professionals. The housing varies between Boston's ubiquitous wooden triple-deckers, more suburban single family homes, and stately brick apartment buildings. In the southwest corner of the neighborhood, The Chestnut Hill Reservoir features a popular shoreline walking trail. The eclectic commercial centers of Brighton Center, Cleveland Circle, and Oak Square offer residents and visitors a rich range of options, from ethnic grocery stores to cozy neighborhood pubs.",http://www.bostonplans.org/neighborhoods/brighton/at-a-glance,,,"https://en.wikipedia.org/wiki/Green_Line_%22B%22_Branch#/media/File:Chestnut_Hill_Avenue_station_facing_outbound,_August_2016.JPG","https://en.wikipedia.org/wiki/Brighton,_Boston#/media/File:Brighton_High_School,_Boston_2011-04-17_(1).jpg","https://en.wikipedia.org/wiki/Oak_Square_station#/media/File:Oak_Square_platform_location,_January_2016.JPG","https://en.wikipedia.org/wiki/Brighton,_Boston#/media/File:BCreservoir2.jpg"
2139,CAMBRIDGE,4,3,49,1987,2197,2668,3348,3599,4141,4770,"Cambridge is situated directly north of Boston, across the Charles River. Cambridge is home to a culturally diverse population of over 100,000. College students from around the world study at Harvard, Radcliffe, the Massachusetts Institute of Technology, and Lesley University. The heavy industries of the nineteenth and early twentieth centuries have been replaced by technology-based enterprises, including software and biotechnology research. Public parkland includes the esplanade along the Charles River, which mirrors its Boston counterpart; Cambridge Common, a busy and historic public park adjacent to Harvard's campus; and the Alewife Brook Reservation and Fresh Pond in western Cambridge.",https://www.cambridgema.gov/,,"https://en.wikipedia.org/wiki/Cambridge,_Massachusetts",https://en.wikipedia.org/wiki/Inman_Square#/media/File:Cambridge_MA_Inman_Square.jpg,"https://en.wikipedia.org/wiki/Cambridge_Public_School_District#/media/File:Cambridge_Rindge_and_Latin_School,_Cambridge_MA.jpg","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts#/media/File:Harvard_square_2009j.JPG","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts#/media/File:Alewife_Brook_Reservation.jpg"
2138,CAMBRIDGE,4,3,49,2127,2347,2858,3588,3849,4428,5101,"Cambridge is situated directly north of Boston, across the Charles River. Cambridge is home to a culturally diverse population of over 100,000. College students from around the world study at Harvard, Radcliffe, the Massachusetts Institute of Technology, and Lesley University. The heavy industries of the nineteenth and early twentieth centuries have been replaced by technology-based enterprises, including software and biotechnology research. Public parkland includes the esplanade along the Charles River, which mirrors its Boston counterpart; Cambridge Common, a busy and historic public park adjacent to Harvard's campus; and the Alewife Brook Reservation and Fresh Pond in western Cambridge.",https://www.cambridgema.gov/,,"https://en.wikipedia.org/wiki/Cambridge,_Massachusetts",https://en.wikipedia.org/wiki/Inman_Square#/media/File:Cambridge_MA_Inman_Square.jpg,"https://en.wikipedia.org/wiki/Cambridge_Public_School_District#/media/File:Cambridge_Rindge_and_Latin_School,_Cambridge_MA.jpg","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts#/media/File:Harvard_square_2009j.JPG","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts#/media/File:Alewife_Brook_Reservation.jpg"
