zipcode,town,ecc,violentcrime_quintile,zviolentcrimeflip,education_percentile_quintile,education_percentile_previous,max_rent_0br,max_rent_1br,max_rent_2br,max_rent_3br,max_rent_4br,max_rent_5br,max_rent_6br
2351,ABINGTON,,3,0.2900541,3,47,947,1017,1328,1678,1949,2243,2588
1720,ACTON,1,2,0.6546531,1,90,1357,1487,1808,2278,2429,2795,3223
1718,ACTON,1,,,1,,,,,,,,
2743,ACUSHNET,,4,0.1001599,3,54,577,567,678,858,909,1047,1213
2134,ALLSTON,,3,0.4163359,5,23,1797,1977,2408,3028,3239,3727,4294
1913,AMESBURY,,4,0.0391838,3,56,1185,1299,1579,1990,2127,2448,2823
1810,ANDOVER,1,2,0.6255558,1,79,1017,1147,1478,1858,1989,2289,2641
2474,ARLINGTON,1,2,0.6461513,1,86,1657,1837,2228,2798,2999,3451,3977
2476,ARLINGTON,1,2,0.6461513,1,86,1497,1657,2008,2528,2699,3106,3580
1721,ASHLAND,1,2,0.5588957,2,76,1357,1487,1808,2278,2429,2795,3223
2703,ATTLEBORO,,4,0.1322443,3,55,757,837,988,1248,1469,1691,1953
2322,AVON,,2,0.5558965,3,48,837,907,1178,1488,1729,1990,2297
1432,AYER,,4,-0.3143496,3,48,1130,1255,1535,1935,2083,2397,2765
1730,BEDFORD,1,1,0.8186066,2,73,1897,2097,2548,3198,3429,3945,4545
2019,BELLINGHAM,,3,0.3337485,3,48,1467,1607,1958,2458,2639,3037,3500
2478,BELMONT,1,1,0.8523478,1,92,1847,2047,2488,3128,3349,3853,4439
2779,BERKLEY,,3,0.5229534,3,51,777,807,1038,1328,1489,1714,1980
1915,BEVERLY,,3,0.4967948,3,51,1327,1457,1768,2228,2379,2738,3157
1821,BILLERICA,,2,0.6844276,3,48,1196,1354,1744,2199,2347,2701,3114
1740,BOLTON,1,2,0.6404068,1,81,1017,977,1308,1688,2069,2381,2747
2199,BOSTON,1,4,0.1925915,5,25,2297,2547,3098,3888,4179,4808,5537
2114,BOSTON,,3,0.4028878,4,40,2297,2547,3098,3888,4179,4808,5537
2215,BOSTON,,2,0.6475784,5,27,2277,2527,3068,3848,4139,4762,5484
2113,BOSTON,1,1,0.7816605,4,42,1947,2157,2618,3288,3529,4060,4678
2111,BOSTON,,5,-1.008633,5,24,1877,2077,2528,3178,3409,3922,4519
2128,BOSTON,,3,0.4902643,4,37,1267,1387,1688,2128,2269,2611,3011
2116,BOSTON,1,4,-0.3005748,5,24,1907,2117,2568,3228,3459,3980,4585
2203,BOSTON,,1,1.010956,4,40,1547,1697,2068,2598,2779,3198,3686
2110,BOSTON,1,5,-1.488327,4,42,2297,2547,3098,3888,4179,4808,5537
2115,BOSTON,,2,0.657737,3,53,1877,2077,2528,3178,3409,3922,4519
2108,BOSTON,1,5,-1.28103,3,54,2087,2307,2808,3528,3789,4359,5021
2210,BOSTON,1,3,0.421258,5,30,2297,2547,3098,3888,4179,4808,5537
2118,BOSTON,,4,-0.1279624,5,24,1667,1837,2238,2808,3009,3462,3990
2127,BOSTON,,3,0.4735025,5,20,1667,1837,2238,2808,3009,3462,3990
2109,BOSTON,1,5,-0.9675269,4,34,2297,2547,3098,3888,4179,4808,5537
2163,BOSTON,,1,0.996129,5,23,2297,2547,3098,3888,4179,4808,5537
1719,BOXBOROUGH,1,3,0.4147879,1,95,1017,1127,1378,1738,1869,2151,2482
1921,BOXFORD,1,1,1.010956,1,92,1017,1127,1378,1738,1869,2151,2482
2184,BRAINTREE,1,2,0.5675668,2,73,1637,1807,2198,2758,2959,3405,3924
2020,BRANT ROCK,1,3,0.5091304,1,,,,,,,,
2767,BRIDGEWATER,,3,0.2536644,2,61,987,987,1308,1888,1949,2243,2588
2324,BRIDGEWATER,,2,0.6712577,2,61,1047,1127,1468,1858,2159,2485,2866
2135,BRIGHTON,,1,0.787538,5,20,1937,2147,2608,3278,3509,4037,4651
2301,BROCKTON,,5,-2.649933,5,26,867,937,1218,1538,1789,2059,2376
2302,BROCKTON,,5,-2.649933,5,26,1130,1255,1535,1935,2171,2498,2882
2446,BROOKLINE,1,2,0.5858524,1,89,2297,2547,3098,3888,4179,4808,5537
2445,BROOKLINE,1,2,0.5858524,1,89,2207,2447,2978,3738,4009,4612,5312
1803,BURLINGTON,,3,0.2735705,3,47,1797,1977,2408,3028,3239,3727,4294
2532,BUZZARDS BAY,,,,4,42,1017,1127,1378,1738,1869,2151,2482
2138,CAMBRIDGE,,4,-0.0056473,3,49,2127,2347,2858,3588,3849,4428,5101
2142,CAMBRIDGE,,4,-0.0056473,3,49,2297,2547,3098,3888,4179,4808,5537
2141,CAMBRIDGE,,4,-0.0056473,3,49,1737,1927,2338,2938,3149,3623,4175
2139,CAMBRIDGE,,4,-0.0056473,3,49,1987,2197,2668,3348,3599,4141,4770
2140,CAMBRIDGE,,4,-0.0056473,3,49,1657,1837,2228,2798,2999,3451,3977
2021,CANTON,,4,-0.2129081,2,69,1557,1717,2088,2628,2809,3232,3725
1741,CARLISLE,1,1,0.9877481,1,99,1587,1767,2158,2718,2929,3370,3884
2330,CARVER,,3,0.2306865,4,41,1417,1567,1898,2388,2559,2945,3395
2129,CHARLESTOWN,,2,0.541759,4,33,2237,2477,3008,3778,4059,4670,5378
1824,CHELMSFORD,1,2,0.6753574,1,79,1017,1127,1448,1818,1949,2243,2588
2150,CHELSEA,,5,-2.351559,5,24,1327,1467,1778,2238,2389,2749,3170
2467,CHESTNUT HILL,1,1,1.002297,1,20,2177,2417,2938,3688,3959,4555,5246
2025,COHASSET,1,2,0.5584241,1,90,1547,1707,2078,2608,2799,3221,3712
1742,CONCORD,1,1,0.7649229,1,91,1877,2077,2528,3178,3409,3922,4519
1923,DANVERS,,3,0.4050767,4,43,1377,1517,1838,2308,2469,2841,3276
2026,DEDHAM,,1,0.915658,3,57,1607,1777,2158,2708,2909,3347,3858
2715,DIGHTON,,1,0.9294568,3,58,637,687,878,1118,1249,1438,1662
2121,DORCHESTER,,5,-0.6922152,5,17,1262,1387,1689,2122,2270,2612,3012
2122,DORCHESTER,,4,0.0261105,5,21,1337,1477,1788,2248,2409,2772,3196
2125,DORCHESTER,,4,0.008732,5,30,1357,1497,1818,2288,2449,2818,3249
2124,DORCHESTER CENTER,,4,-0.0946928,4,40,1437,1587,1928,2428,2599,2991,3448
2030,DOVER,1,1,0.9507174,1,97,2297,2547,3098,3888,4179,4808,5537
1826,DRACUT,,2,0.6359926,4,45,987,1107,1428,1798,1919,2209,2548
2332,DUXBURY,1,2,0.7245665,1,85,1817,2017,2448,3078,3299,3796,4373
2333,EAST BRIDGEWATER,,2,0.5249247,2,60,,,,,,,
2032,EAST WALPOLE,1,,,2,75,1447,1597,1938,2438,2609,3002,3461
2538,EAST WAREHAM,,,,5,29,1337,1477,1788,2248,2409,2772,3196
2189,EAST WEYMOUTH,,,,4,40,1247,1377,1668,2098,2239,2577,2971
2375,EASTON,,,,2,64,977,967,1288,1868,1919,2209,2548
1929,ESSEX,1,,,2,77,1237,1357,1648,2078,2219,2554,2945
2149,EVERETT,,4,-0.1732289,4,40,1297,1427,1728,2178,2329,2680,3091
2719,FAIRHAVEN,,4,0.0136903,3,52,707,707,838,1058,1119,1289,1490
2720,FALL RIVER,,5,-2.886255,5,31,587,647,758,958,1129,1300,1504
2724,FALL RIVER,,5,-2.886255,5,31,567,617,728,918,1089,1254,1451
2723,FALL RIVER,,5,-2.886255,5,31,567,617,728,918,1089,1254,1451
2721,FALL RIVER,,5,-2.886255,5,31,567,617,728,918,1089,1254,1451
1745,FAYVILLE,1,1,0.7704981,1,,,,,,,,
2035,FOXBOROUGH,1,,,2,69,1397,1537,1868,2348,2509,2887,3329
1701,FRAMINGHAM,,3,0.2597959,4,39,1437,1577,1918,2408,2579,2968,3421
1702,FRAMINGHAM,,3,0.2597959,4,39,1377,1517,1838,2308,2469,2841,3276
2038,FRANKLIN,1,1,0.9601142,2,72,1237,1357,1648,2078,2219,2554,2945
1833,GEORGETOWN,,1,0.8852909,2,63,1017,1127,1438,1808,1929,2220,2562
1930,GLOUCESTER,,4,0.0964471,4,40,1317,1442,1755,2210,2358,2713,3129
1834,GROVELAND,,1,0.9763318,3,57,847,957,1228,1548,1649,1898,2191
2338,HALIFAX,1,2,0.6731322,2,73,1387,1507,1968,2478,2889,3324,3831
2339,HANOVER,1,1,0.9360963,2,71,1337,1477,1788,2248,2409,2772,3196
2341,HANSON,,3,0.3369291,3,46,1017,1127,1378,1738,1869,2151,2482
1451,HARVARD,1,1,0.7712721,1,97,1167,1137,1518,1948,2429,2795,3223
1835,HAVERHILL,,5,-1.110123,5,30,847,957,1228,1548,1649,1898,2191
1830,HAVERHILL,,5,-1.110123,5,30,797,887,1148,1448,1539,1772,2046
1832,HAVERHILL,,5,-1.110123,5,30,747,837,1078,1358,1449,1668,1927
2043,HINGHAM,1,2,0.7090261,1,89,1797,1987,2418,3038,3259,3750,4320
2343,HOLBROOK,,2,0.5846673,3,58,1277,1397,1698,2138,2279,2623,3024
1746,HOLLISTON,1,1,0.8130919,2,77,1350,1486,1799,2265,2424,2789,3216
1748,HOPKINTON,1,1,0.9966974,1,90,1577,1747,2118,2658,2849,3278,3778
1749,HUDSON,,1,0.8896688,3,50,1247,1377,1668,2098,2239,2577,2971
2045,HULL,,4,-0.1104629,4,45,1337,1477,1788,2248,2409,2772,3196
2136,HYDE PARK,1,2,0.5396184,4,39,1295,1420,1722,2166,2314,2663,3071
1938,IPSWICH,1,2,0.7320282,2,68,1107,1217,1478,1858,1989,2289,2641
2130,JAMAICA PLAIN,,2,0.5631527,5,15,1687,1857,2258,2838,3039,3497,4029
2364,KINGSTON,,3,0.3720611,2,64,1417,1567,1898,2388,2559,2945,3395
2347,LAKEVILLE,,2,0.545629,2,64,927,997,1298,1638,1909,2197,2535
1840,LAWRENCE,,5,-1.821712,5,28,717,797,1028,1298,1379,1588,1834
1843,LAWRENCE,,5,-1.821712,5,28,797,887,1148,1448,1539,1772,2046
1841,LAWRENCE,,5,-1.821712,5,28,717,807,1038,1308,1389,1599,1847
2421,LEXINGTON,1,1,0.9353222,1,97,2127,2347,2858,3588,3849,4428,5101
2420,LEXINGTON,1,1,0.9353222,1,97,2167,2397,2918,3668,3929,4520,5207
1773,LINCOLN,1,1,0.8778896,2,78,1797,1977,2408,3028,3239,3727,4294
1460,LITTLETON,1,2,0.5450848,2,73,1447,1597,1938,2438,2609,3002,3461
1854,LOWELL,,4,-0.2788668,4,34,827,927,1198,1508,1609,1852,2138
1851,LOWELL,,4,-0.2788668,4,34,837,937,1208,1518,1619,1864,2152
1852,LOWELL,,4,-0.2788668,4,34,887,997,1288,1618,1729,1990,2297
1850,LOWELL,,4,-0.2788668,4,34,927,1037,1338,1688,1799,2071,2390
1902,LYNN,,5,-1.727056,4,36,1306,1431,1744,2199,2347,2701,3114
1905,LYNN,,5,-1.727056,4,36,1273,1398,1700,2133,2281,2625,3027
1901,LYNN,,5,-1.727056,4,36,1130,1255,1535,1935,2083,2397,2765
1904,LYNN,,5,-1.727056,4,36,1357,1487,1808,2278,2429,2795,3223
1940,LYNNFIELD,1,1,0.7965961,1,91,1457,1607,1948,2448,2619,3014,3474
2148,MALDEN,,4,-0.2015159,3,54,1497,1647,1998,2508,2689,3094,3567
1944,MANCHESTER BY THE SEA,1,,,1,85,1447,1597,1938,2438,2609,3002,3461
2048,MANSFIELD,1,3,0.3079044,2,68,1130,1255,1535,1935,2083,2397,2765
1945,MARBLEHEAD,1,2,0.5530787,2,69,1407,1547,1878,2358,2529,2910,3355
2738,MARION,1,2,0.560867,2,72,1130,1255,1535,1935,2083,2397,2765
1752,MARLBOROUGH,,4,-0.3619017,4,38,1307,1437,1748,2198,2349,2703,3117
2051,MARSHFIELD,1,,,1,,,,,,,,
2050,MARSHFIELD,1,3,0.5091304,1,79,1407,1557,1888,2378,2539,2922,3368
2126,MATTAPAN,,4,0.0268119,5,26,1387,1527,1858,2338,2499,2876,3315
2739,MATTAPOISETT,1,3,0.2812862,1,94,837,897,1168,1478,1719,1979,2284
